code,name,type,parent_code,sort_order
01,Thành phố Hà Nội,MUNICIPALITY,,1
04,Cao Bằng,PROVINCE,,2
08,Tuyên Quang,PROVINCE,,3
11,Điện Biên,PROVINCE,,4
12,Lai Châu,PROVINCE,,5
14,Sơn La,PROVINCE,,6
15,Lào Cai,PROVINCE,,7
19,Thái Nguyên,PROVINCE,,8
20,Lạng Sơn,PROVINCE,,9
22,Quảng Ninh,PROVINCE,,10
24,Bắc Ninh,PROVINCE,,11
25,Phú Thọ,PROVINCE,,12
31,Thành phố Hải Phòng,MUNICIPALITY,,13
33,Hưng Yên,PROVINCE,,14
37,Ninh Bình,PROVINCE,,15
38,Thanh Hóa,PROVINCE,,16
40,Nghệ An,PROVINCE,,17
42,Hà Tĩnh,PROVINCE,,18
44,Quảng Trị,PROVINCE,,19
46,Thành phố Huế,MUNICIPALITY,,20
48,Thành phố Đà Nẵng,MUNICIPALITY,,21
51,Quảng Ngãi,PROVINCE,,22
52,Gia Lai,PROVINCE,,23
56,Khánh Hòa,PROVINCE,,24
66,Đắk Lắk,PROVINCE,,25
68,Lâm Đồng,PROVINCE,,26
75,Đồng Nai,PROVINCE,,27
79,Thành phố Hồ Chí Minh,MUNICIPALITY,,28
80,Tây Ninh,PROVINCE,,29
82,Đồng Tháp,PROVINCE,,30
86,Vĩnh Long,PROVINCE,,31
91,An Giang,PROVINCE,,32
92,Thành phố Cần Thơ,MUNICIPALITY,,33
96,Cà Mau,PROVINCE,,34
00070,Phường Hoàn Kiếm,WARD,01,1
00073,Phường Cửa Nam,WARD,01,2
00004,Phường Ba Đình,WARD,01,3
00008,Phường Ngọc Hà,WARD,01,4
00025,Phường Giảng Võ,WARD,01,5
00256,Phường Hai Bà Trưng,WARD,01,6
00283,Phường Vĩnh Tuy,WARD,01,7
00277,Phường Bạch Mai,WARD,01,8
00235,Phường Đống Đa,WARD,01,9
00226,Phường Kim Liên,WARD,01,10
00196,Phường Văn Miếu - Quốc Tử Giám,WARD,01,11
00187,Phường Láng,WARD,01,12
00190,Phường Ô Chợ Dừa,WARD,01,13
00097,Phường Hồng Hà,WARD,01,14
00328,Phường Lĩnh Nam,WARD,01,15
00319,Phường Hoàng Mai,WARD,01,16
00304,Phường Vĩnh Hưng,WARD,01,17
00313,Phường Tương Mai,WARD,01,18
00316,Phường Định Công,WARD,01,19
00337,Phường Hoàng Liệt,WARD,01,20
00331,Phường Yên Sở,WARD,01,21
00367,Phường Thanh Xuân,WARD,01,22
